Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite,,,2019-06-25 10:20:08,2019-06-25 10:20:21,13.329s,ERROR
,,,,,,
Test Cases/Create_API,,,2019-06-25 10:20:08,2019-06-25 10:20:17,9.137s,PASSED
"sendRequest(findTestObject(""UserRestService/OCR_URL""))",,,2019-06-25 10:20:09,2019-06-25 10:20:17,8.108s,PASSED
,,,,,,
Test Cases/Status_API,,,2019-06-25 10:20:17,2019-06-25 10:20:20,3.067s,ERROR
"sendRequestAndVerify(findTestObject(""UserRestService/STATUS_API""))",,,2019-06-25 10:20:18,2019-06-25 10:20:20,2.442s,ERROR
