Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite,,,2019-06-07 15:30:18,2019-06-07 15:30:30,11.899s,PASSED
,,,,,,
Test Cases/Create_API,,,2019-06-07 15:30:19,2019-06-07 15:30:27,8.224s,PASSED
"response = sendRequest(findTestObject(""UserRestService/OCR_URL""))",,,2019-06-07 15:30:20,2019-06-07 15:30:27,7.186s,PASSED
out.println(response.getResponseText()),,,2019-06-07 15:30:27,2019-06-07 15:30:27,0.046s,PASSED
User_Id = customKeywords.get_Response_String.extract_Response_String(response.getResponseText()),,,2019-06-07 15:30:27,2019-06-07 15:30:27,0.139s,PASSED
out.println(User_Id),,,2019-06-07 15:30:27,2019-06-07 15:30:27,0.002s,PASSED
,,,,,,
Test Cases/Status_API,,,2019-06-07 15:30:27,2019-06-07 15:30:30,2.792s,PASSED
"request = findTestObject(""UserRestService/STATUS_API"")",,,2019-06-07 15:30:27,2019-06-07 15:30:27,0.026s,PASSED
out.println(request.getRestUrl()),,,2019-06-07 15:30:27,2019-06-07 15:30:27,0.023s,PASSED
request.setRestUrl(request.getRestUrl() + User_Id),,,2019-06-07 15:30:27,2019-06-07 15:30:27,0.003s,PASSED
response = sendRequest(request),,,2019-06-07 15:30:27,2019-06-07 15:30:30,2.237s,PASSED
out.println(response.getResponseBodyContent()),,,2019-06-07 15:30:30,2019-06-07 15:30:30,0.002s,PASSED
